Date,Open,High,Low,Close
20200904,12539.0,12650.0,12510.0,12607.0
20200907,12607.0,12732.0,12560.0,12580.0
20200908,12668.0,12695.0,12610.0,12668.0
20200909,12510.0,12606.0,12434.0,12600.0
20200910,12599.0,12705.0,12599.0,12698.0
20200911,12675.0,12689.0,12606.0,12662.0
20200914,12663.0,12797.0,12630.0,12783.0
20200915,12750.0,12854.0,12750.0,12842.0
20200916,12900.0,13018.0,12900.0,12968.0
20200917,12866.0,12908.0,12773.0,12816.0
20200918,12785.0,12866.0,12773.0,12834.0
20200921,12790.0,12877.0,12655.0,12662.0
20200922,12570.0,12655.0,12481.0,12508.0
20200923,12520.0,12563.0,12442.0,12528.0
20200924,12390.0,12417.0,12167.0,12175.0
20200925,12200.0,12309.0,12114.0,12196.0
20200928,12272.0,12421.0,12246.0,12415.0
20200929,12432.0,12521.0,12395.0,12422.0
20200930,12451.0,12547.0,12444.0,12470.0
20201005,12505.0,12620.0,12486.0,12529.0
20201006,12584.0,12703.0,12584.0,12677.0
20201007,12611.0,12757.0,12596.0,12755.0
20201008,12802.0,12875.0,12773.0,12873.0
20201012,12930.0,12995.0,12878.0,12920.0
20201013,13012.0,13012.0,12817.0,12920.0
20201014,12975.0,12975.0,12872.0,12890.0
20201015,12866.0,12892.0,12727.0,12841.0
20201016,12780.0,12865.0,12719.0,12746.0
20201019,12751.0,12912.0,12740.0,12895.0
20201020,12826.0,12905.0,12826.0,12855.0
20201021,12824.0,12946.0,12824.0,12861.0
20201022,12720.0,12839.0,12707.0,12837.0
20201023,12841.0,12889.0,12795.0,12839.0
20201026,12856.0,12935.0,12820.0,12860.0
20201027,12781.0,12833.0,12765.0,12807.0
20201028,12816.0,12816.0,12713.0,12740.0
20201029,12602.0,12640.0,12505.0,12603.0
20201030,12530.0,12563.0,12408.0,12414.0
20201102,12403.0,12531.0,12402.0,12517.0
20201103,12532.0,12715.0,12532.0,12685.0
20201104,12770.0,12878.0,12662.0,12864.0
20201105,12930.0,12930.0,12821.0,12892.0
20201106,12980.0,12991.0,12897.0,12935.0
20201109,13040.0,13175.0,13040.0,13121.0
20201110,13256.0,13256.0,13010.0,13072.0
20201111,13081.0,13280.0,13075.0,13260.0
20201112,13244.0,13305.0,13193.0,13230.0
20201113,13260.0,13285.0,13164.0,13283.0
20201116,13362.0,13581.0,13361.0,13579.0
20201117,13650.0,13736.0,13570.0,13624.0
20201118,13625.0,13788.0,13621.0,13756.0
20201119,13706.0,13750.0,13663.0,13739.0
20201120,13768.0,13768.0,13640.0,13736.0
20201123,13688.0,13942.0,13680.0,13871.0
20201124,13850.0,13927.0,13777.0,13803.0
20201125,13905.0,13909.0,13692.0,13708.0
20201126,13745.0,13862.0,13742.0,13842.0
20201127,13765.0,13890.0,13750.0,13878.0
20201130,13910.0,13975.0,13704.0,13722.0
20201201,13738.0,13884.0,13725.0,13877.0
20201202,13851.0,13980.0,13851.0,13956.0
20201203,13940.0,14047.0,13903.0,13986.0
20201204,14002.0,14148.0,13980.0,14136.0
20201207,14188.0,14247.0,14087.0,14225.0
20201208,14176.0,14349.0,14157.0,14341.0
20201209,14400.0,14424.0,14331.0,14396.0
20201210,14218.0,14313.0,14179.0,14240.0
20201211,14273.0,14340.0,14091.0,14237.0
20201214,14268.0,14285.0,14197.0,14203.0
20201215,14054.0,14232.0,14030.0,14082.0
20201216,14280.0,14328.0,14186.0,14322.0
20201217,14162.0,14225.0,14086.0,14188.0
20201218,14155.0,14222.0,14129.0,14137.0
20201221,14160.0,14312.0,14021.0,14312.0
20201222,14200.0,14334.0,14042.0,14044.0
20201223,14004.0,14181.0,14004.0,14112.0
20201224,14200.0,14287.0,14121.0,14246.0
20201225,14333.0,14383.0,14245.0,14307.0
20201228,14275.0,14444.0,14275.0,14437.0
20201229,14443.0,14465.0,14377.0,14461.0
20201230,14466.0,14642.0,14440.0,14638.0
20201231,14762.0,14762.0,14605.0,14678.0
20210104,14678.0,14925.0,14635.0,14873.0
20210105,14800.0,14980.0,14800.0,14978.0
20210106,15031.0,15140.0,14764.0,14910.0
20210107,15050.0,15259.0,15022.0,15230.0
20210108,15400.0,15473.0,15250.0,15455.0
20210111,15450.0,15538.0,15370.0,15537.0
20210112,15421.0,17084.0,15407.0,15492.0
20210113,15500.0,15790.0,15500.0,15761.0
20210114,15681.0,15766.0,15610.0,15728.0
20210115,15995.0,16001.0,15585.0,15631.0
20210118,15704.0,15704.0,15327.0,15608.0
20210119,15651.0,15946.0,15617.0,15891.0
20210120,15950.0,15964.0,15736.0,15765.0
20210121,15880.0,16183.0,15750.0,16128.0
20210122,16035.0,16099.0,15928.0,15982.0
20210125,15810.0,16003.0,15701.0,15912.0
20210126,15850.0,15974.0,15537.0,15628.0
20210127,15710.0,15814.0,15585.0,15660.0
20210128,15300.0,15523.0,15300.0,15383.0
20210129,15451.0,15538.0,15063.0,15075.0
20210201,15065.0,15397.0,15063.0,15361.0
